bamboo grass	#NAME?	NA	NA	NA	NA	No	No	No	NA	3080	770	Green	Colorful	1x1	No	NA	Nook Shopping Seasonal		1.3.0	1.3.0	201	zen-style	folk art	None	None	No	Japanese Style	No	Does not play music	No lighting	Not in catalog	FtrTanabata	NA	1182	LBgZgjLgTm4RJGGdp
wedding arch	#NAME?	Cute	Design	NA	NA	No	Yes	No	7	NFS	5000	White	Light blue	3x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Arch	No	Does not play music	No lighting	Not for sale	FtrWeddingArch_Remake_0_0	0_0	12402	fMTAHHboDGPitEZzf
wedding arch	#NAME?	Chic	Design	NA	NA	No	Yes	No	7	NFS	5000	White	Brown	3x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Arch	No	Does not play music	No lighting	Not for sale	FtrWeddingArch_Remake_1_0	1_0	12402	iYQeGKgR67gmisv7R
wedding arch	#NAME?	Garden	Design	NA	NA	No	Yes	No	7	NFS	5000	Green	Yellow	3x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Arch	No	Does not play music	No lighting	Not for sale	FtrWeddingArch_Remake_2_0	2_0	12402	ferAajPzSvgDvEofk
wedding bench	#NAME?	Cute	Design	NA	NA	No	Yes	No	2	NFS	875	White	Pink	2x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Sofa	No	Does not play music	No lighting	Not for sale	FtrWeddingChairL_Remake_0_0	0_0	12401	fsufqtDeXFMBgFFqp
wedding bench	#NAME?	Chic	Design	NA	NA	No	Yes	No	2	NFS	875	Brown	Brown	2x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Sofa	No	Does not play music	No lighting	Not for sale	FtrWeddingChairL_Remake_1_0	1_0	12401	caQtgWN978SbmbwwE
wedding bench	#NAME?	Garden	Design	NA	NA	No	Yes	No	2	NFS	875	Yellow	Yellow	2x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Sofa	No	Does not play music	No lighting	Not for sale	FtrWeddingChairL_Remake_2_0	2_0	12401	6BAuHYtjAALsN9zBi
wedding chair	#NAME?	Cute	Design	NA	NA	No	Yes	No	2	NFS	500	White	Pink	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Chair	No	Does not play music	No lighting	Not for sale	FtrWeddingChairS_Remake_0_0	0_0	12405	kgHqkSCZZSHaoCNCG
wedding chair	#NAME?	Chic	Design	NA	NA	No	Yes	No	2	NFS	500	Brown	Beige	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Chair	No	Does not play music	No lighting	Not for sale	FtrWeddingChairS_Remake_1_0	1_0	12405	4e35pbYEibkkiaGHC
wedding chair	#NAME?	Garden	Design	NA	NA	No	Yes	No	2	NFS	500	Yellow	Green	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Chair	No	Does not play music	No lighting	Not for sale	FtrWeddingChairS_Remake_2_0	2_0	12405	ixvbmXEgiqfWQSQkc
wedding flower stand	#NAME?	Cute	Design	NA	NA	No	Yes	No	2	NFS	1000	Pink	White	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Plants	No	Does not play music	No lighting	Not for sale	FtrWeddingFlower_Remake_0_0	0_0	12411	u3qMDdrk4XLZu2BMm
wedding flower stand	#NAME?	Chic	Design	NA	NA	No	Yes	No	2	NFS	1000	White	Yellow	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Plants	No	Does not play music	No lighting	Not for sale	FtrWeddingFlower_Remake_1_0	1_0	12411	SZjEFNTzfvmrBTATX
wedding flower stand	#NAME?	Garden	Design	NA	NA	No	Yes	No	2	NFS	1000	Yellow	Brown	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Plants	No	Does not play music	No lighting	Not for sale	FtrWeddingFlower_Remake_2_0	2_0	12411	obXJFc4LwC29mNGLg
wedding head table	#NAME?	Cute	Design	NA	NA	No	Yes	No	1	NFS	750	Pink	White	2x1	Yes	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Table	No	Does not play music	No lighting	Not for sale	FtrWeddingTableM_Remake_0_0	0_0	12404	fEZMf7cTj4TveK8mx
wedding head table	#NAME?	Chic	Design	NA	NA	No	Yes	No	1	NFS	750	Beige	White	2x1	Yes	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Table	No	Does not play music	No lighting	Not for sale	FtrWeddingTableM_Remake_1_0	1_0	12404	87WEZHegNXS3Zk4Ag
wedding head table	#NAME?	Garden	Design	NA	NA	No	Yes	No	1	NFS	750	Green	White	2x1	Yes	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Table	No	Does not play music	No lighting	Not for sale	FtrWeddingTableM_Remake_2_0	2_0	12404	wjPhSWCNiFY8oE3nb
wedding pipe organ	#NAME?	White	Body color	NA	NA	No	Yes	No	7	NFS	25000	White	Gray	2x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Musical Instrument	No	Does not play music	No lighting	Not for sale	FtrWeddingOrgan_Remake_0_0	0_0	12409	acprZScM3Y4idSkvH
wedding pipe organ	#NAME?	Dark brown	Body color	NA	NA	No	Yes	No	7	NFS	25000	Brown	Yellow	2x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Musical Instrument	No	Does not play music	No lighting	Not for sale	FtrWeddingOrgan_Remake_1_0	1_0	12409	jomGHAT87csEz9eip
wedding pipe organ	#NAME?	Natural	Body color	NA	NA	No	Yes	No	7	NFS	25000	Yellow	Black	2x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Musical Instrument	No	Does not play music	No lighting	Not for sale	FtrWeddingOrgan_Remake_2_0	2_0	12409	XjdXEoGhmTDvoqbXd
wedding table	#NAME?	Cute	Design	NA	NA	No	Yes	No	2	NFS	1500	Pink	White	2x2	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Table	No	Does not play music	Candle	Not for sale	FtrWeddingTableL_Remake_0_0	0_0	12406	Kdsf5MQ8xZMpRfuLq
wedding table	#NAME?	Chic	Design	NA	NA	No	Yes	No	2	NFS	1500	White	Beige	2x2	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Table	No	Does not play music	Candle	Not for sale	FtrWeddingTableL_Remake_1_0	1_0	12406	Q2vQd6JLLmL2uXu8F
wedding table	#NAME?	Garden	Design	NA	NA	No	Yes	No	2	NFS	1500	Green	Yellow	2x2	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	Yes	Table	No	Does not play music	Candle	Not for sale	FtrWeddingTableL_Remake_2_0	2_0	12406	BzqYYaxr344dH9QmD
wedding welcome board	#NAME?	Cute	Easel	Message	Board	No	Yes	Yes	2	NFS	375	Pink	Pink	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Shop	No	Does not play music	No lighting	Not for sale	FtrWeddingBoard_Remake_0_0	0_0	12410	4HgEuCMwa6jv42HSj
wedding welcome board	#NAME?	Cute	Easel	Reese & Cyrus	Board	No	Yes	Yes	2	NFS	375	Pink	White	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Shop	No	Does not play music	No lighting	Not for sale	FtrWeddingBoard_Remake_0_1	0_1	12410	QWELx7N7S9zF7NqNC
wedding welcome board	#NAME?	Chic	Easel	Message	Board	No	Yes	Yes	2	NFS	375	Brown	Pink	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Shop	No	Does not play music	No lighting	Not for sale	FtrWeddingBoard_Remake_1_0	1_0	12410	rruzNLF7YavCLzxwf
wedding welcome board	#NAME?	Chic	Easel	Reese & Cyrus	Board	No	Yes	Yes	2	NFS	375	Brown	White	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Shop	No	Does not play music	No lighting	Not for sale	FtrWeddingBoard_Remake_1_1	1_1	12410	EJse7MnF2FM3KaHMg
wedding welcome board	#NAME?	Garden	Easel	Message	Board	No	Yes	Yes	2	NFS	375	Yellow	Pink	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Shop	No	Does not play music	No lighting	Not for sale	FtrWeddingBoard_Remake_2_0	2_0	12410	meo4bGDqQK42HScFg
wedding welcome board	#NAME?	Garden	Easel	Reese & Cyrus	Board	No	Yes	Yes	2	NFS	375	Yellow	White	1x1	No	NA	Cyrus	Only available during Wedding Season	1.2.0	1.2.1c	437	party	expensive	wedding	None	No	Shop	No	Does not play music	No lighting	Not for sale	FtrWeddingBoard_Remake_2_1	2_1	12410	qdJYrzsqca4dQqMbJ
