insert into acnl_furniture values(1, 0, '? Block', 'unorderable', 'Fortune Cookie', 'orange', 'brown');
insert into acnl_furniture values(71, 0, 'Bathroom Stall', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(72, 0, 'Bathtub', 'normal', 'Timmy&Tommy''s', 'aqua', 'aqua');
insert into acnl_furniture values(73, 0, 'Beach Chair', 'unorderable', 'Island', 'white', 'white');
insert into acnl_furniture values(74, 0, 'Beach Table', 'unorderable', 'Island', 'blue', 'white');
insert into acnl_furniture values(75, 0, 'Beacon Fire', 'normal', 'Timmy&Tommy''s', 'red', 'black');
insert into acnl_furniture values(76, 0, 'Bear Pole', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(77, 0, 'Beetle Chair', 'unorderable', 'Nat', 'brown', 'brown');
insert into acnl_furniture values(78, 0, 'Bell Knickknack', 'unorderable', 'Countdown (KOR)', 'yellow', 'yellow');
insert into acnl_furniture values(79, 0, 'Berliner', 'unorderable', 'Countdown (EU:Ger)', 'white', 'white');
insert into acnl_furniture values(80, 0, 'Big Ben', 'normal', 'Gulliver', 'beige', 'beige');
insert into acnl_furniture values(81, 0, 'Big Festive Tree', 'normal', 'Limited (December 1 to 23)', 'green', 'colorful');
insert into acnl_furniture values(82, 0, 'Bilboquet', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(83, 0, 'Bill Blaster', 'unorderable', 'Fortune Cookie', 'black', 'black');
insert into acnl_furniture values(84, 0, 'Billiard Table', 'normal', 'Timmy&Tommy''s', 'green', 'brown');
insert into acnl_furniture values(85, 0, 'Bingo Wheel', 'normal', 'Timmy&Tommy''s', 'yellow', 'black');
insert into acnl_furniture values(86, 0, 'Bird Feeder', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(87, 0, 'Birdbath', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(88, 0, 'Birdcage', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(89, 0, 'Birdhouse', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(90, 0, 'Birthday Cake', 'unorderable', 'Birthday', 'red', 'white');
insert into acnl_furniture values(91, 0, 'Birthday Candles', 'unorderable', 'Birthday', 'red', 'colorful');
insert into acnl_furniture values(92, 0, 'Birthday Sign', 'unorderable', 'Birthday', 'colorful', 'colorful');
insert into acnl_furniture values(93, 0, 'Birthday Table', 'unorderable', 'Birthday', 'red', 'white');
insert into acnl_furniture values(94, 0, 'Bishop', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(95, 0, 'Biwa Lute', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(96, 0, 'Black Katana', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(97, 0, 'Block', 'unorderable', 'Fortune Cookie', 'brown', 'brown');
insert into acnl_furniture values(98, 0, 'Blossom Lantern', 'normal', 'Limited (March 1 to 3) (JP)', 'white', 'black');
insert into acnl_furniture values(99, 0, 'Blue Bed', 'normal', 'Timmy&Tommy''s', 'yellow', 'blue');
insert into acnl_furniture values(100, 0, 'Blue Bench', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(101, 0, 'Blue Bookcase', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(102, 0, 'Blue Bureau', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(103, 0, 'Blue Cabinet', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(104, 0, 'Blue Certificate', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(105, 0, 'Blue Chair', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(106, 0, 'Blue Clock', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(107, 0, 'Blue Corner', 'normal', 'Spotlight/Wishy', 'blue', 'white');
insert into acnl_furniture values(108, 0, 'Blue Dresser', 'normal', 'Timmy&Tommy''s', 'blue', 'white');
insert into acnl_furniture values(109, 0, 'Blue Falcon', 'unorderable', 'Fortune Cookie', 'blue', 'blue');
insert into acnl_furniture values(110, 0, 'Blue Table', 'normal', 'Timmy&Tommy''s', 'yellow', 'blue');
insert into acnl_furniture values(111, 0, 'Blue Vase', 'normal', 'Timmy&Tommy''s', 'aqua', 'aqua');
insert into acnl_furniture values(112, 0, 'Blue Wall Shelf', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(113, 0, 'Blue Wardrobe', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(114, 0, 'Bobsled', 'unorderable', 'Snowman', 'aqua', 'aqua');
insert into acnl_furniture values(115, 0, 'Bonfire', 'normal', 'Tent Camper', 'red', 'brown');
insert into acnl_furniture values(116, 0, 'Boomerang', 'normal', 'Timmy&Tommy''s', 'aqua', 'brown');
insert into acnl_furniture values(117, 0, 'Bottled Ship', 'unorderable', 'Club Tortimer', 'brown', 'gray');
insert into acnl_furniture values(118, 0, 'Bow', 'normal', 'Timmy&Tommy''s', 'yellow', 'black');
insert into acnl_furniture values(119, 0, 'Bowling Pins', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(120, 0, 'Box Corner Sofa', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(121, 0, 'Box of Chocolates', 'unorderable', 'Club Tortimer', 'brown', 'brown');
insert into acnl_furniture values(122, 0, 'Box of Tissues', 'unorderable', 'Savings', 'white', 'white');
insert into acnl_furniture values(123, 0, 'Box Sofa', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(124, 0, 'Boxed Figurine', 'unorderable', 'Fireworks', 'pink', 'pink');
insert into acnl_furniture values(125, 0, 'Boxing Barricade', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(126, 0, 'Boxing Mat', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(127, 0, 'Bread Box', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(128, 0, 'Breaker', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(129, 0, 'Broken Post', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(130, 0, 'Bromeliaceae', 'normal', 'Garden Corner', 'green', 'white');
insert into acnl_furniture values(131, 0, 'Bronze Bug Trophy', 'unorderable', 'Nat', 'none', 'none');
insert into acnl_furniture values(132, 0, 'Bronze Fish Trophy', 'unorderable', 'Chip', 'none', 'none');
insert into acnl_furniture values(133, 0, 'Brown Pot', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(134, 0, 'Bucket', 'normal', 'Timmy&Tommy''s', 'yellow', 'yellow');
insert into acnl_furniture values(135, 0, 'Bug Zapper', 'normal', 'Timmy&Tommy''s', 'blue', 'blue');
insert into acnl_furniture values(136, 0, 'Bunk Bed', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(137, 0, 'Bureom', 'unorderable', 'Daeboreum (KOR)', 'red', 'brown');
insert into acnl_furniture values(138, 0, 'Butterfly Machine', 'normal', 'Timmy&Tommy''s', 'gray', 'black');
insert into acnl_furniture values(139, 0, 'Cabana Armchair', 'unorderable', 'Island', 'brown', 'white');
insert into acnl_furniture values(140, 0, 'Cabana Bed', 'unorderable', 'Island', 'brown', 'white');
insert into acnl_furniture values(141, 0, 'Cabana Bookcase', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(142, 0, 'Cabana Chair', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(143, 0, 'Cabana Dresser', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(144, 0, 'Cabana Lamp', 'unorderable', 'Island', 'blue', 'brown');
insert into acnl_furniture values(145, 0, 'Cabana Screen', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(146, 0, 'Cabana Table', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(147, 0, 'Cabana Vanity', 'unorderable', 'Island', 'Harmonious', 'Rustic');
insert into acnl_furniture values(148, 0, 'Cabana Wall Radio', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(149, 0, 'Cabana Wardrobe', 'unorderable', 'Island', 'brown', 'brown');
insert into acnl_furniture values(150, 0, 'Cabin Armchair', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(151, 0, 'Cabin Bed', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(152, 0, 'Cabin Bookcase', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(153, 0, 'Cabin Chair', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(154, 0, 'Cabin Clock', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(155, 0, 'Cabin Couch', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(156, 0, 'Cabin Dresser', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(157, 0, 'Cabin Low Table', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(158, 0, 'Cabin Table', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(159, 0, 'Cabin Wall Clock', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(160, 0, 'Cabin Wardrobe', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(161, 0, 'Cacao Tree', 'unorderable', 'Valentine''s', 'green', 'white');
insert into acnl_furniture values(162, 0, 'Cactus', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(163, 0, 'Caladium', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(164, 0, 'Camp Stove', 'normal', 'Igloo Camper', 'yellow', 'black');
insert into acnl_furniture values(165, 0, 'Campfire', 'normal', 'Igloo Camper', 'red', 'brown');
insert into acnl_furniture values(166, 0, 'Campfire Cookware', 'normal', 'Tent Camper', 'brown', 'black');
insert into acnl_furniture values(167, 0, 'Candle', 'normal', 'Timmy&Tommy''s', 'yellow', 'white');
insert into acnl_furniture values(168, 0, 'Candy Jar', 'normal', 'Timmy&Tommy''s', 'colorful', 'colorful');
insert into acnl_furniture values(169, 0, 'Candy Machine', 'normal', 'Timmy&Tommy''s', 'red', 'colorful');
insert into acnl_furniture values(170, 0, 'Capsule-Toy Machine', 'normal', 'Timmy&Tommy''s', 'red', 'beige');
insert into acnl_furniture values(171, 0, 'Captain''s Monitor', 'normal', 'Spotlight/Wishy', 'red', 'colorful');
insert into acnl_furniture values(172, 0, 'Card Bed', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(173, 0, 'Card Chair', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(174, 0, 'Card Closet', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(175, 0, 'Card Dresser', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(176, 0, 'Card Lamp', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(177, 0, 'Card Screen', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(178, 0, 'Card Shelf', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(179, 0, 'Card Sofa', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(180, 0, 'Card Table', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(181, 0, 'Card Tower', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(182, 0, 'Card Wall Clock', 'unorderable', 'GracieGrace (Sales)', 'red', 'white');
insert into acnl_furniture values(183, 0, 'Cardboard Bed', 'unorderable', 'Re-Tail/Police Station', 'brown', 'brown');
insert into acnl_furniture values(184, 0, 'Cardboard Box', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(185, 0, 'Cardboard Chair', 'unorderable', 'Re-Tail/Police Station', 'brown', 'brown');
insert into acnl_furniture values(186, 0, 'Cardboard Closet', 'unorderable', 'Re-Tail/Police Station', 'brown', 'brown');
insert into acnl_furniture values(187, 0, 'Cardboard Sofa', 'unorderable', 'Re-Tail/Police Station', 'brown', 'brown');
insert into acnl_furniture values(188, 0, 'Cardboard Table', 'unorderable', 'Re-Tail/Police Station', 'brown', 'brown');
insert into acnl_furniture values(189, 0, 'Carp Banner', 'normal', 'Limited (May 1 to 5) (JP)', 'colorful', 'colorful');
insert into acnl_furniture values(190, 0, 'Cash Register', 'normal', 'Timmy&Tommy''s', 'yellow', 'brown');
insert into acnl_furniture values(191, 0, 'Cassette Player', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(192, 0, 'Caterpillar Sofa', 'unorderable', 'Nat', 'green', 'green');
insert into acnl_furniture values(193, 0, 'CD Player', 'normal', 'Timmy&Tommy''s', 'aqua', 'aqua');
insert into acnl_furniture values(194, 0, 'CD Shelf', 'normal', 'Timmy&Tommy''s', 'brown', 'colorful');
insert into acnl_furniture values(195, 0, 'Cello', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(196, 0, 'Cement Mixer', 'normal', 'Timmy&Tommy''s', 'yellow', 'yellow');
insert into acnl_furniture values(197, 0, 'Ceramic Hot Pot', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(198, 0, 'Chaise Lounge', 'normal', 'Timmy&Tommy''s', 'beige', 'brown');
insert into acnl_furniture values(199, 0, 'Chalkboard', 'normal', 'Timmy&Tommy''s', 'gray', 'black');
insert into acnl_furniture values(200, 0, 'Checkout Counter', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(201, 0, 'Chocolate Cake', 'unorderable', 'Valentine''s', 'brown', 'brown');
insert into acnl_furniture values(202, 0, 'Chocolate Fountain', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(203, 0, 'Cicada Stereo', 'unorderable', 'Nat', 'blue', 'brown');
insert into acnl_furniture values(204, 0, 'Circle Banner', 'normal', 'Timmy&Tommy''s', 'red', 'black');
insert into acnl_furniture values(205, 0, 'Clackercart', 'normal', 'Timmy&Tommy''s', 'colorful', 'brown');
insert into acnl_furniture values(206, 0, 'Classic Bed', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(207, 0, 'Classic Bookcase', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(208, 0, 'Classic Buffet', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(209, 0, 'Classic Chair', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(210, 0, 'Classic Clock', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(211, 0, 'Classic Desk', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(212, 0, 'Classic Sofa', 'normal', 'Timmy&Tommy''s', 'yellow', 'yellow');
insert into acnl_furniture values(213, 0, 'Classic Table', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(214, 0, 'Classic Vanity', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(215, 0, 'Classic Wall Shelf', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(216, 0, 'Classic Wardrobe', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(217, 0, 'Claw-Foot Tub', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(218, 0, 'Clay Furnace', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(219, 0, 'Clear Model', 'normal', 'Timmy&Tommy''s', 'red', 'blue');
insert into acnl_furniture values(220, 0, 'Clothes Closet', 'normal', 'Timmy&Tommy''s', 'beige', 'beige');
insert into acnl_furniture values(221, 0, 'Clothesline Pole', 'normal', 'Timmy&Tommy''s', 'aqua', 'white');
insert into acnl_furniture values(222, 0, 'Coat Hanger', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(223, 0, 'Coconut Palm', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(224, 0, 'Coffee Cup', 'unorderable', 'Brewster', 'brown', 'white');
insert into acnl_furniture values(225, 0, 'Coffee Grinder', 'unorderable', 'Brewster', 'brown', 'gray');
insert into acnl_furniture values(226, 0, 'Coffeemaker', 'unorderable', 'Brewster', 'white', 'white');
insert into acnl_furniture values(227, 0, 'Coin', 'unorderable', 'Fortune Cookie', 'yellow', 'yellow');
insert into acnl_furniture values(228, 0, 'Colorful Wheel', 'normal', 'Timmy&Tommy''s', 'colorful', 'colorful');
insert into acnl_furniture values(229, 0, 'Common Bed', 'normal', 'Timmy&Tommy''s', 'red', 'brown');
insert into acnl_furniture values(230, 0, 'Common Chair', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(231, 0, 'Compass', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(232, 0, 'Complex Machine', 'normal', 'Timmy&Tommy''s', 'gray', 'black');
insert into acnl_furniture values(233, 0, 'Computer', 'normal', 'Timmy&Tommy''s', 'brown', 'white');
insert into acnl_furniture values(234, 0, 'Computer Desk', 'normal', 'Timmy&Tommy''s', 'white', 'black');
insert into acnl_furniture values(235, 0, 'Conga Drum', 'normal', 'Timmy&Tommy''s', 'beige', 'brown');
insert into acnl_furniture values(236, 0, 'Conveyor-Belt Sushi', 'normal', 'Timmy&Tommy''s', 'colorful', 'gray');
insert into acnl_furniture values(237, 0, 'Cool Globe', 'unorderable', 'Nature Day (NA)', 'brown', 'brown');
insert into acnl_furniture values(238, 0, 'Copy Machine', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(239, 0, 'Corinthian Post', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(240, 0, 'Corkboard', 'normal', 'Timmy&Tommy''s', 'orange', 'brown');
insert into acnl_furniture values(241, 0, 'Corn Plant', 'normal', 'Garden Corner', 'green', 'white');
insert into acnl_furniture values(242, 0, 'Cornucopia', 'unorderable', 'Harvest Festival', 'colorful', 'brown');
insert into acnl_furniture values(243, 0, 'Cosmos Fan', 'unorderable', 'Weeding Day/Leif', 'green', 'white');
insert into acnl_furniture values(244, 0, 'Country Guitar', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(245, 0, 'Covered Wagon', 'normal', 'Spotlight/Wishy', 'beige', 'brown');
insert into acnl_furniture values(246, 0, 'Cow Skull', 'normal', 'Timmy&Tommy''s', 'white', 'gray');
insert into acnl_furniture values(247, 0, 'Crab Clock', 'unorderable', 'Chip', 'red', 'red');
insert into acnl_furniture values(248, 0, 'Cradle', 'normal', 'Timmy&Tommy''s', 'pink', 'pink');
insert into acnl_furniture values(249, 0, 'Crane Game', 'normal', 'Timmy&Tommy''s', 'pink', 'pink');
insert into acnl_furniture values(250, 0, 'Cream and Sugar', 'unorderable', 'Brewster', 'brown', 'gray');
insert into acnl_furniture values(251, 0, 'Cream Sofa', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(252, 0, 'Creepy Bat Stone', 'unorderable', 'Halloween', 'gray', 'gray');
insert into acnl_furniture values(253, 0, 'Creepy Cauldron', 'unorderable', 'Halloween', 'green', 'purple');
