insert into acnh_bag values(1, 0, 'acorn pochette', 'unorderable', '2400', 'Crafting', 'Cute');
insert into acnh_bag values(56, 0, 'Mom''s knapsack (Forest print)', 'unorderable', '175', 'Mom', 'Cute');
insert into acnh_bag values(57, 0, 'Mom''s knapsack (Flowers)', 'unorderable', '175', 'Mom', 'Cute');
insert into acnh_bag values(58, 0, 'Mom''s knapsack (Chick)', 'unorderable', '175', 'Mom', 'Cute');
insert into acnh_bag values(59, 0, 'Nook Inc. knapsack (Brown)', 'unorderable', '4000', 'Nook Miles Shop', 'Gorgeous');
insert into acnh_bag values(60, 0, 'outdoor backpack (Navy blue)', 'orderable', '1560', 'Kicks', 'Active');
insert into acnh_bag values(61, 0, 'outdoor backpack (Orange)', 'orderable', '1560', 'Kicks', 'Active');
insert into acnh_bag values(62, 0, 'outdoor backpack (Avocado)', 'orderable', '1560', 'Kicks', 'Active');
insert into acnh_bag values(63, 0, 'pleather crossbody bag (Navy blue)', 'orderable', '1120', 'Kicks', 'Cool');
insert into acnh_bag values(64, 0, 'pleather crossbody bag (Black)', 'orderable', '1120', 'Kicks', 'Cool');
insert into acnh_bag values(65, 0, 'pleather fringe bag (Camel)', 'orderable', '2400', 'Kicks', 'Elegant');
insert into acnh_bag values(66, 0, 'pleather fringe bag (White)', 'orderable', '2400', 'Kicks', 'Elegant');
insert into acnh_bag values(67, 0, 'pleather shoulder bag (Brown)', 'orderable', '2400', 'Kicks', 'Elegant');
insert into acnh_bag values(68, 0, 'pleather shoulder bag (Navy blue)', 'orderable', '2400', 'Kicks', 'Elegant');
insert into acnh_bag values(69, 0, 'retro sports bag (Red)', 'orderable', '1400', 'Kicks', 'Active');
insert into acnh_bag values(70, 0, 'retro sports bag (Black)', 'orderable', '1400', 'Kicks', 'Active');
insert into acnh_bag values(71, 0, 'retro sports bag (Blue)', 'orderable', '1400', 'Kicks', 'Active');
insert into acnh_bag values(72, 0, 'sacoche bag (Blue)', 'orderable', '980', 'Kicks', 'Active');
insert into acnh_bag values(73, 0, 'sacoche bag (Red)', 'orderable', '980', 'Kicks', 'Active');
insert into acnh_bag values(74, 0, 'sacoche bag (Black)', 'orderable', '980', 'Kicks', 'Active');
insert into acnh_bag values(75, 0, 'shellfish pochette', 'unorderable', '10800', 'Crafting', 'Cute');
insert into acnh_bag values(76, 0, 'snowflake pochette', 'unorderable', '2400', 'Crafting', 'Elegant');
insert into acnh_bag values(77, 0, 'square backpack (Pink)', 'orderable', '1300', 'Kicks', 'Active');
insert into acnh_bag values(78, 0, 'square backpack (Green)', 'orderable', '1300', 'Kicks', 'Active');
insert into acnh_bag values(79, 0, 'square backpack (Yellow)', 'orderable', '1300', 'Kicks', 'Active');
insert into acnh_bag values(80, 0, 'star pochette', 'unorderable', '3000', 'Crafting', 'Cute');
insert into acnh_bag values(81, 0, 'straw pochette (Brown)', 'orderable', '980', 'Kicks', 'Simple');
insert into acnh_bag values(82, 0, 'studded backpack (Black)', 'orderable', '1560', 'Kicks', 'Cool');
insert into acnh_bag values(83, 0, 'studded backpack (White)', 'orderable', '1560', 'Kicks', 'Cool');
insert into acnh_bag values(84, 0, 'tackle bag (Blue)', 'unorderable', '175', 'Fishing Tourney', 'Active');
insert into acnh_bag values(85, 0, 'tool bag (Black)', 'orderable', '910', 'Kicks', 'Active');
insert into acnh_bag values(86, 0, 'town backpack (Blue)', 'orderable', '1040', 'Kicks', 'Active');
insert into acnh_bag values(87, 0, 'town backpack (Red)', 'orderable', '1040', 'Kicks', 'Active');
insert into acnh_bag values(88, 0, 'town backpack (Green)', 'orderable', '1040', 'Kicks', 'Active');
insert into acnh_bag values(89, 0, 'town backpack (Orange)', 'orderable', '1040', 'Kicks', 'Active');
insert into acnh_bag values(90, 0, 'travel pouch (Green)', 'orderable', '840', 'Kicks', 'Active');
insert into acnh_bag values(91, 0, 'travel pouch (Light blue)', 'orderable', '840', 'Kicks', 'Active');
insert into acnh_bag values(92, 0, 'travel pouch (Purple)', 'orderable', '840', 'Kicks', 'Active');
insert into acnh_bag values(93, 0, 'travel pouch (Pink)', 'orderable', '840', 'Kicks', 'Active');
insert into acnh_bag values(94, 0, 'traveler''s backpack (Blue)', 'orderable', '2940', 'Kicks', 'Simple');
insert into acnh_bag values(95, 0, 'traveler''s backpack (Brown)', 'orderable', '2940', 'Kicks', 'Simple');
insert into acnh_bag values(96, 0, 'traveler''s backpack (Orange)', 'orderable', '2940', 'Kicks', 'Simple');
