insert into acnh_fish values(1, 0, 'bitterling', '900', 'River', 'Tiny', 'All day');
insert into acnh_fish values(29, 0, 'golden trout', '15000', 'River (clifftop)', 'Medium', '4:00 PM to 9:00 AM');
insert into acnh_fish values(30, 0, 'stringfish', '15000', 'River (clifftop)', 'Very Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(31, 0, 'salmon', '700', 'River (mouth)', 'Large', 'All day');
insert into acnh_fish values(32, 0, 'king salmon', '1800', 'River (mouth)', 'Very Large', 'All day');
insert into acnh_fish values(33, 0, 'mitten crab', '2000', 'River', 'Small', '4:00 PM to 9:00 AM');
insert into acnh_fish values(34, 0, 'guppy', '1300', 'River', 'Tiny', '9:00 AM to 4:00 PM');
insert into acnh_fish values(35, 0, 'nibble fish', '1500', 'River', 'Tiny', '9:00 AM to 4:00 PM');
insert into acnh_fish values(36, 0, 'angelfish', '3000', 'River', 'Small', '4:00 PM to 9:00 AM');
insert into acnh_fish values(37, 0, 'betta', '2500', 'River', 'Small', '9:00 AM to 4:00 PM');
insert into acnh_fish values(38, 0, 'neon tetra', '500', 'River', 'Tiny', '9:00 AM to 4:00 PM');
insert into acnh_fish values(39, 0, 'rainbowfish', '800', 'River', 'Tiny', '9:00 AM to 4:00 PM');
insert into acnh_fish values(40, 0, 'piranha', '2500', 'River', 'Small', '9:00 AM to 9:00 PM and 4:00 PM to 4:00 AM');
insert into acnh_fish values(41, 0, 'arowana', '10000', 'River', 'Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(42, 0, 'dorado', '15000', 'River', 'Very Large', '4:00 AM to 9:00 PM');
insert into acnh_fish values(43, 0, 'gar', '6000', 'Pond', 'Very Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(44, 0, 'arapaima', '10000', 'River', 'Huge', '4:00 PM to 9:00 AM');
insert into acnh_fish values(45, 0, 'saddled bichir', '4000', 'River', 'Large', '9:00 PM to 4:00 AM');
insert into acnh_fish values(46, 0, 'sturgeon', '10000', 'River (mouth)', 'Huge', 'All day');
insert into acnh_fish values(47, 0, 'sea butterfly', '1000', 'Sea', 'Tiny', 'All day');
insert into acnh_fish values(48, 0, 'sea horse', '1100', 'Sea', 'Tiny', 'All day');
insert into acnh_fish values(49, 0, 'clown fish', '650', 'Sea', 'Tiny', 'All day');
insert into acnh_fish values(50, 0, 'surgeonfish', '1000', 'Sea', 'Small', 'All day');
insert into acnh_fish values(51, 0, 'butterfly fish', '1000', 'Sea', 'Small', 'All day');
insert into acnh_fish values(52, 0, 'Napoleonfish', '10000', 'Sea', 'Huge', '4:00 AM to 9:00 PM');
insert into acnh_fish values(53, 0, 'zebra turkeyfish', '500', 'Sea', 'Medium', 'All day');
insert into acnh_fish values(54, 0, 'blowfish', '5000', 'Sea', 'Medium', '9:00 PM to 5:00 AM');
insert into acnh_fish values(55, 0, 'puffer fish', '250', 'Sea', 'Medium', 'All day');
insert into acnh_fish values(56, 0, 'anchovy', '200', 'Sea', 'Small', '4:00 AM to 9:00 PM');
insert into acnh_fish values(57, 0, 'horse mackerel', '150', 'Sea', 'Small', 'All day');
insert into acnh_fish values(58, 0, 'barred knifejaw', '5000', 'Sea', 'Medium', 'All day');
insert into acnh_fish values(59, 0, 'sea bass', '400', 'Sea', 'Very Large', 'All day');
insert into acnh_fish values(60, 0, 'red snapper', '3000', 'Sea', 'Large', 'All day');
insert into acnh_fish values(61, 0, 'dab', '300', 'Sea', 'Medium', 'All day');
insert into acnh_fish values(62, 0, 'olive flounder', '800', 'Sea', 'Very Large', 'All day');
insert into acnh_fish values(63, 0, 'squid', '500', 'Sea', 'Medium', 'All day');
insert into acnh_fish values(64, 0, 'moray eel', '2000', 'Sea', 'Long', 'All day');
insert into acnh_fish values(65, 0, 'ribbon eel', '600', 'Sea', 'Long', 'All day');
insert into acnh_fish values(66, 0, 'tuna', '7000', 'Pier', 'Huge', 'All day');
insert into acnh_fish values(67, 0, 'blue marlin', '10000', 'Pier', 'Huge', 'All day');
insert into acnh_fish values(68, 0, 'giant trevally', '4500', 'Pier', 'Very Large', 'All day');
insert into acnh_fish values(69, 0, 'mahi-mahi', '6000', 'Pier', 'Very Large', 'All day');
insert into acnh_fish values(70, 0, 'ocean sunfish', '4000', 'Sea', 'Large w/Fin', '4:00 AM to 9:00 PM');
insert into acnh_fish values(71, 0, 'ray', '3000', 'Sea', 'Very Large', '4:00 AM to 9:00 PM');
insert into acnh_fish values(72, 0, 'saw shark', '12000', 'Sea', 'Large w/Fin', '4:00 PM to 9:00 AM');
insert into acnh_fish values(73, 0, 'hammerhead shark', '8000', 'Sea', 'Large w/Fin', '4:00 PM to 9:00 AM');
insert into acnh_fish values(74, 0, 'great white shark', '15000', 'Sea', 'Large w/Fin', '4:00 PM to 9:00 AM');
insert into acnh_fish values(75, 0, 'whale shark', '13000', 'Sea', 'Large w/Fin', 'All day');
insert into acnh_fish values(76, 0, 'suckerfish', '1500', 'Sea', 'Medium w/Fin', 'All day');
insert into acnh_fish values(77, 0, 'football fish', '2500', 'Sea', 'Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(78, 0, 'oarfish', '9000', 'Sea', 'Huge', 'All day');
insert into acnh_fish values(79, 0, 'barreleye', '15000', 'Sea', 'Small', '9:00 PM to 4:00 AM');
insert into acnh_fish values(80, 0, 'coelacanth', '15000', 'Sea (raining)', 'Huge', 'All day');
